Profile;h;b;t-s;t-g;A;g;I-y;W-y;i-y;I-z;W-z;i-z;A-q;r;S-f;W-yv;A-qv;gHandel;Knick;S-y;Itor;Iw/1000;Typ;MIP-Typ;Sec-Typ;ey;S 460 Knick
I280;280;119;10.1;15.2;61;47.9;7590;542;11.1;245;61.2;2.45;26.82128;1.52;241.4388388;615.5094095;31.75089824;49;a/b;316;42;60.8;7;5;H;0;a0
I300;300;125;10.8;16.2;69;54.2;9600;653;11.9;256;72.2;2.56;30.77448;1.62;289.7345652;741.0349523;35.7844774;56;a/b;381;53.7;86.5;7;5;H;0;a0
I320;320;131;11.5;17.3;77.7;61;12610;782;12.7;555;84.7;2.67;34.96208;1.73;345.8996456;887.5647301;41.92400942;63;a/b;274;68.5;121.3;7;5;H;0;a0
I340;340;137;12.2;18.3;86.7;68;15700;923;13.5;674;98.4;2.8;39.46038;1.83;406.7207412;1046.974044;47.09373794;70;a/b;540;85.3;166.1;7;5;H;0;a0
I360;360;143;13;19.5;97;76.1;19610;1090;14.2;818;114;2.9;44.5255;1.95;478.890748;1237.464522;53.23343603;78;a/b;638;107.9;226.2;7;5;H;0;a0
I380;380;149;13.7;20.5;107;84;24010;1260;15;975;131;3.02;49.559;2.05;553.9002254;1429.680502;59.38560501;86;a/b;784;131.3;300.3;7;5;H;0;a0
I400;400;155;14.4;21.6;118;92.4;29210;1460;15.7;1160;149;3.13;55.08352;2.16;639.0998286;1656.831593;65.81507007;95;a/b;857;159.7;395.4;7;5;H;0;a0
I425;425;163;15.3;23;132;104;36970;1740;16.7;1440;176;3.3;61.597;2.3;760.3490856;1975.160256;74.39227727;107;a/b;1200;;;7;5;H;0;a0
I450;450;170;16.2;24.3;147;115;45850;2040;17.7;1730;203;3.43;69.49758;2.43;887.339695;2315.024966;83.70751406;118;a/b;1200;250.5;745.5;7;5;H;0;a0
I475;475;178;17.1;25.6;163;128;56480;2380;18.6;2090;235;3.6;77.55232;2.56;1033.371447;2700.152861;93.46184309;131;a/b;1480;;;7;5;H;0;a0
I500;500;185;18;27;179;141;68740;2750;19.6;2480;268;3.72;85.418;2.7;1192.368728;3120.744439;103.7699137;145;a/b;1620;375.4;1321.7;7;5;H;0;a0
I550;550;200;19;30;212;166;99180;3610;21.6;3490;349;4.02;99.5;3;1574.261403;4102.272727;119.7018485;170;a/b;2120;531.4;2252.9;7;5;H;0;a0
I600;600;215;21.6;32.4;254;199;139000;4630;23.4;4670;434;4.3;123.77792;3.24;1996.047322;5254.19882;150.4172756;204;a/b;2730;;;4;5;H;0;a0
IPEo240;242;122;7;10.8;43.7;34.3;4370;361;10;329;53.9;2.74;21.344;15;166.9073313;458.8340336;18.32753526;35;a/b;205;;;4;1;H;0;a0
IPEo270;274;136;7.5;12.2;63.8;42.3;6950;507;11.4;514;75.5;3.09;35.191;15;234.8435184;632.5956284;22.19563067;43;a/b;287;;;4;1;H;0;a0
IPEo300;304;152;8;12.7;62.8;49.3;9990;658;12.6;746;98.1;3.45;29.018;15;302.0806369;804.6339501;26.45651202;51;a/b;372;;;4;1;H;0;a0
IPEo330;334;182;8.5;13.5;72.6;57;13910;833;13.8;960;119;3.64;29.4675;18;423.8871998;1026.649446;27.89303382;58;a/b;471;;;4;1;H;0;a0
IPEo360;364;172;9.2;14.7;84.1;55;19050;1050;15.1;1250;146;3.86;42.2344;25;493.4002108;1342.937456;35.52086038;56;a/b;593;;;4;1;H;0;a0
IPEo400;404;182;9.7;15.5;96.4;75.7;26750;1320;16.7;1560;172;4.03;47.9935;21;597.3544223;1611.117825;43.43736152;78;a/b;751;;;4;1;H;0;a0
IPEv400;408;182;10.6;17.6;107;84;30140;1480;16.8;1770;194;4.06;52.1936;21;677.7360384;1825.392987;47.13988661;86;a/b;841;;;4;1;H;0;a0
IPEo450;456;192;11;17.6;118;92.4;40920;1790;18.7;2090;217;4.21;59.744;21;802.3967442;2154.804646;56.09693749;95;a/b;1020;;;4;1;H;0;a0
IPEv450;460;194;12.4;19.6;132;104;46200;2010;18.7;247;426;3.98;66.6144;21;904.5329442;2440.865892;63.33434328;107;a/b;1150;;;4;1;H;0;a0
IPEo500;506;202;12;19;137;107;57780;2280;20.6;2620;260;4.38;70.5;21;1008.387194;2708.169014;68.75930237;110;a/b;1310;;;4;1;H;0;a0
IPEv500;514;204;14.2;23;164;129;70720;2750;29.8;3270;321;4.46;83.086;21;1235.560794;3318.075117;81.27677769;132;a/b;1580;;;4;1;H;0;a0
IPEo550;556;212;12.7;20.2;156;123;79160;2850;22.5;3220;304;4.55;82.6134;24;1247.417372;3388.793841;80.59307355;126;a/b;1630;;;4;1;H;0;a0
IPEv550;566;218;17.1;25.2;202;159;102300;3620;22.5;4260;395;4.59;108.5332;24;1610.321132;4381.779299;108.6323694;163;a/b;2100;;;4;1;H;0;a0
IPEo600;610;224;15;24;197;154;118300;3880;24.5;4520;404;4.79;104.6;24;1699.455939;4604.669261;104.4157697;158;a/b;2240;;;4;1;H;0;a0
IPEv600;618;228;18;28;234;184;141600;4580;24.6;5570;489;4.88;124.8;24;2026.071939;5506.692607;125.8000741;189;a/b;2660;;;4;1;H;0;a0
UC152x152x30;157.6;152.9;6.5;9.4;38.3;30;1748;222;6.76;540;73.3;3.83;11.5946;7.6;110.3199218;283.0679612;10.2991371;31;b/c;124;10.5;30.8;8;3;H;0;a
UC203x203x52;206.2;204.3;7.9;12.5;66.3;52;5259;510;8.91;1778;174;5.18;18.7625;10.2;255.6044244;653.9925373;16.25406137;53;b/c;283.5;31.8;167;8;3;H;0;a
UC203x203x71;251.8;206.4;10;17.3;90.4;71;7618;706;9.18;2537;246;5.3;24.2448;10.2;430.900714;903.3069106;17.67924664;73;a/b;399.5;80.2;250;8;3;H;0;a0
UC254x254x73;254.1;254.6;8.6;14.2;93.1;73.1;11409;898;11.1;3908;307;6.48;25.6216;12.7;448.062522;1139.2002;21.89814929;75;b/c;496;57.6;562;8;3;H;0;a
UC254x254x89;260.3;256.3;10.3;17.3;113;88.9;14264;1096;11.2;4857;379;6.56;30.4963;12.7;555.2969115;1424.307539;26.45777366;91;b/c;612;102;717;8;3;H;0;a
UC254x254x107;266.7;258.8;12.8;20.5;136;107;17509;1313;11.3;5927;458;6.6;37.723;12.7;672.841629;1748.263105;33.3087595;110;b/c;742;172;898;8;3;H;0;a
UC305x305x97;307.9;305.3;9.9;15.4;123;96.9;22246;1445;13.4;7312;479;7.71;35.1738;15.2;712.2895244;1803.467775;30.91936529;99;b/c;796;91.2;1560;8;3;H;0;a
UC305x305x118;314.5;307.4;12;18.7;150;118;27676;1760;13.6;9053;589;7.77;42.9612;15.2;878.8003334;2243.696798;37.79151957;121;b/c;979;161;1980;8;3;H;0;a
UC305x305x137;320.5;309.2;13.8;21.7;174;137;32819;2048;13.7;10698;692;7.84;49.3986;15.2;1034.410003;2660.656668;43.7836253;140;b/c;1148.5;249;2390;8;3;H;0;a
UC356x368x129;355.6;368.6;10.4;17.5;164;129;40254;2264;15.7;14615;793;9.44;42.13;15.2;1120.588724;2774.219159;37.35907661;132;b/c;1239.5;153;4180;8;3;H;0;a
UC356x368x153;362;370.5;12.3;20.7;195;153;48580;2684;15.8;17562;948;9.49;50.4519;15.2;1343.096765;3348.063405;44.48927401;157;b/c;1482.5;251;5111;8;3;H;0;a
UC356x368x177;368.2;372.6;14.4;23.8;226;177;57126;3103;15.9;20530;1102;9.53;59.3048;15.2;1566.002715;3937.02481;52.52956409;181;b/c;1727.5;381;6090;8;3;H;0;a
UC356x368x202;374.6;374.7;16.5;27;257;202;66267;3538;16.1;23681;1264;9.6;67.325;15.2;1801.902591;4566.970365;60.68061089;207;b/c;1986;558;7160;8;3;H;0;a
UC356x406x235;381;394.8;18.4;30.2;299;235;79077;4151;16.3;30992;1570;10.18;75.2784;15.2;2139.063043;5449.796692;68.021221;241;b/c;2343.5;812;9540;8;3;H;0;a
UC356x406x287;393.6;399;22.6;36.5;366;287;99876;5075;16.5;38683;1939;10.28;94.075;15.2;2657.351968;6883.252929;84.94161206;294;b/c;2906;1441;12300;8;3;H;0;a
UC356x406x340;406.4;403;26.6;42.9;433;340;122550;6031;16.8;46849;2325;10.4;111.679;15.2;3208.082348;8445.893866;101.61304;349;b/c;3499.5;2343;15500;8;3;H;0;a
UC356x406x393;419;407;30.6;49.2;501;393;146608;6998;17.1;55372;2721;10.51;130.524;15.2;3777.194763;10103.93522;118.7708096;403;b/c;4111;3545;18900;8;3;H;0;a
UC356x406x467;436.6;412.2;35.8;58;595;467;183001;8383;16.1;67828;3291;10.67688228;155.244;15.2;4611.860587;12612.05307;142.0562412;479;b/c;5000;5809;24300;8;3;H;0;a
UC356x406x551;455.6;418.5;42.1;67.5;702;551;226934;9962;18;82675;3951;10.85;185.9625;15.2;5581.716621;15639.85941;171.1645726;565;b/c;6040;9240;31100;8;3;H;0;a
UC356x406x634;474.7;424.1;47.6;77;808.1;634;275140;11592;18.5;98211;11592;11;215.046;15.2;6605.801643;18955.2959;198.2600252;650;b/c;7120;13720;38800;8;3;H;0;a
UBP356x368x174;361.5;378.1;20.4;20.4;222.2;174;51134;2829;15.2;18444;2829;9.11;78.2984;15.2;1367.697964;3522.850499;76.26929535;178;b/c;1597;;;9;3;H;0;a
UBP356x368x152;356.4;375.5;17.9;17.9;193.6;152;43916;2464;15.1;15799;2464;9.03;67.8167;15.2;1184.278512;3026.08408;66.37766303;156;b/c;1382;;;9;3;H;0;a
UBP356x368x133;351.9;373.3;16.8;15.6;169;133;37840;2150;15;13576;2150;8.96;59.8936;15.2;1023.480436;2606.217706;62.11276516;136;b/c;1199;;;9;3;H;0;a
UBP356x368x109;346.4;370.5;12.9;12.9;138.4;109;30515;1762;14.8;10900;1762;8.87;48.3967;15.2;832.6187869;2103.228119;47.27775859;112;b/c;975;;;9;3;H;0;a
UBP305x305x223;338;325.4;30.5;30.5;284.8;223;52829;3125;13.6;17572;3125;7.85;104.8805;15.2;1589.197917;4283.25223;101.3897943;229;b/c;1931;;;9;3;H;0;a
UBP305x305x186;328.4;320.5;25.7;25.7;237.3;186;42643;2597;13.4;14118;2597;7.71;86.9807;15.2;1300.926572;3458.454177;84.24188757;191;b/c;1502.5;;;9;3;H;0;a
UBP305x305x149;318.2;315.6;20.6;20.6;190;149;33013;2075;13.2;10869;2075;7.56;70.4788;15.2;1012.123476;2677.473642;67.19217723;153;b/c;1185;;;9;3;H;0;a
